vendor_id,notable_achievement
recKzGfeKHBrAtIW3,"Weatherford Christian School offers a challenging, college-preparatory
academic program utilizing state-adopted curriculum that incorporates
technology training, foreign language, and fine arts with a Biblical
Worldview. 

Since our first graduating class in 2009, 291 graduates have been
awarded over $20.9 million in scholarship offers from some of the most
elite schools across the country. Our graduates have been accepted to
over 90 colleges and universities."
recLX77RwKkClxxKc,"A New Day Child Development Center is proudly accredited through the Texas Rising Star (TRS) program. Texas Rising Star is a statewide quality rating and improvement system for early childhood programs in Texas. 

We are honored to share that A New Day CDC has earned a 4-Star rating, the highest level of recognition within the Texas Rising Star program. This achievement reflects our continued commitment to providing high-quality care, strong teaching practices, and a nurturing, supportive learning environment for every child in our care.
At A New Day CDC, our mission is to provide a nurturing and engaging environment that supports the whole-child development of every student, socially, emotionally, cognitively, and physically. 

Our daily routines are designed to help children build meaningful relationships, strengthen social-emotional skills, and develop a strong foundation for lifelong learning. 

Our curriculum is thoughtfully planned to spark joy and curiosity throughout the day. From arrival to departure, children are immersed in hands-on experiences that support their growth and development. 

Our caring teachers build trusting relationships through small-group activities, guided exploration, and personalized interactions. Each day includes a variety of interactive lessons, games, songs, and creative materials tailored to engage young minds."
recLilhemcXj8trs0,Area High schools want our students. They are well prepared for high school classes. Most are placed in advanced classes.
recM7IQkA0sZP7bjl,"Our Lady of Grace has demonstrated measurable student growth through the use of NWEA MAP assessments and targeted instructional programs. Through small class sizes, individualized support, and data-informed instruction, students continue to make steady progress toward grade-level mastery."
recM7vTNUU74O3LUp,"Pre-K/Early Years program from 3 years old includes early reading and numeracy skills, world renowned curriculum which fosters emotional wellbeing, cognitive and social development.

Elementary/Primary School includes rigorous enquiry based academic curriculum that builds curiosity, independence and agency.

Middle School includes a broad and balanced approach, providing a wide range of academic and personal opportunities, preparing students for High School.

High School offers personalized pathways to successful High School graduation, which include the High School Diploma and the International Baccalaureate Diploma and Bilingual Diplomas. 100% pass rate in the IB Career-related Programme (CP) and a 92% pass rate in the IB Diploma Programme (DP), far exceeding the global average of 81.26%. An impressive 71% of students scored at or above the world average, with 24% earning more than 40 points—a distinction achieved by only 4% of candidates worldwide. Class of 2025 secured over $6.3 million in scholarship offers. 
College acceptances include: Carnegie Mellon, Colgate University, Columbia University, Johns Hopkins, NYU, Rice University, University of Southern California, UT Austin, University of Aberdeen, University of Oxford, University of British Columbia, University of Toronto"
recMOzMahNbIjXYRr,"Measured against national norms, our students average more than three times the expected annual growth."
recMiPzH9epEFlOca,"Notable Academic Achievements

Rise Hybrid Private Academy students have demonstrated exceptional academic outcomes and long-term success:

100% High School Graduation Rate

100% College Acceptance Rate

100% College Graduation Rate

All current alumni are pursuing advanced degrees, with 95% enrolled in health and medical-related fields

Advanced college-level coursework offered during high school"
recMjmxIF6cqppVkS,"RRCA competes in the Texas Association of Private an Parochial Schools (TAPPS) and has been very successful in Academic, Sports, and Fine Arts State competitions.   RRCA won the TAPPS Academic State Championship in 2015, 2016, 2018, 2019, and 2022.    Our students consistently score above the local and national averages on the SAT college entrance test."
recN33h3OnfhFBafx,"Country Home Learning Center participates in the Texas School Ready Program, and is accredited through Texas Rising Star, and the Cognia organization. Cognia helps assure parents of a school’s commitment to quality education by “engaging the school community in meeting high quality standards, implementing a continuous improvement process and engaging in quality assurance through internal and external review.”"
recN8MTUu17mhJI3T,"College Board AP School: Gold Honor Roll; Student average ACT and SAT scores consistently higher than the local, state and national averages; 100% student acceptance to colleges and universities; annual student recognition by AP College Board recognition for AP scholars, AP scholars with honor, and AP scholars with distinction; and affiliation with John Hopkins Center for Talented Youth."
recN93F2z1PQgIIPi,"Proud to be a 4‑Star Texas Rising Star program, the highest rating awarded in Texas. Our team is made up of dedicated early childhood professionals—most holding bachelor’s degrees or Child Development certifications—who consistently exceed state training requirements to ensure exceptional care and learning for every child."
recNBLDxVXStWxNob,We do quarterly child assessments using the CLI Engage assessment and Precious Stones Academy assessment.
recNC90yz82GGQGQt,"90-95% of our students accepted in university
DFW Area Wide Mind Game Champions - High School 
Second Place Spelling Bee Champions - Middle School
Dual Credit Courses - College Credits"
recNoIMSd3dTQj0tj,"Our children consistently demonstrate strong school-readiness skills, including early literacy, number recognition, social-emotional development, and classroom independence. Through intentional, play-based learning and individualized support, students transition confidently into Pre-K and kindergarten prepared to succeed academically and socially."
recNvsIXN4sj3SeuE,"Learners demonstrate measurable academic growth through self-paced mastery in core subjects, with many working above grade level in reading and math. Individualized learning plans allow students to progress based on mastery rather than age."
recO4JxQ1CmcNPIEi,"At Creative Kidz, we pride ourselves on being an active part of each child’s developmental journey and ensuring they are on track for grade school readiness. Through intentional instruction, nurturing support, and developmentally appropriate practices, many of our children enter grade school confident and well-prepared, often scoring above expectations."
recORcYs579g5dapJ,"Children who graduate from Kiddie Academy of League City East leave confident, curious, and First Grade-ready. Our graduates demonstrate strong early literacy and math skills, independence in learning, effective communication, and well-developed social-emotional foundations setting them up to excel as they transition into elementary school and beyond."
recP4mpC0ARAnGNCC,Academic winners in competitions.
recP5Z5Hj4kpbzztJ,TRS-4 star school; CLI participant
recP9XOpbkI9iyDZG,"Excellent, above age level results in standardized testing (IOWA Test). Our Montessori programs foster a creative, highly motivated and independent thinkers. Students have performed extremely well in later ages and higher learning including alumni having admitted to St. Johns, Kinkaid and Awty and college diplomas received from Harvard, Duke, Stanford, UT-Austin, Texas A&M, NYU and Northwestern."
recPGuAihOYhY3Vkn,"Country Home Learning Center participates in the Texas School Ready Program, and is accredited through Texas Rising Star, and the Cognia organization. Cognia helps assure parents of a school’s commitment to quality education by “engaging the school community in meeting high quality standards, implementing a continuous improvement process and engaging in quality assurance through internal and external review.”"
recPRt2yTWAS6HcJU,"When our Pre-K & Bridge students graduate and move on to Elementary School, parents always come back to us and say they are way more advanced than their classmates, and that they say they're bored because they already learned that at Ivy Kids."
recPXqaoSg1Sb2Av0,"Our Pre-Kindergarten graduates consistently enter Kindergarten performing above district average, a success frequently praised by elementary teachers who recognize our students' strong academic readiness.

Glenwood Primary University results are widely acknowledged by the community, whose public support reflects confidence in the quality and impact of our educational program."
recPrQVJEN5DegrOm,Accredited since 1968.
recPvoSYIusSe1WUj,TRS 4 star center
recQ8IzbU5e7wbw7P,"St. Dominic Savio Catholic High School consistently ranks above state and national averages with its ACT and SAT scores. 

Over the last two years, more than 50 percent of Savio students completed over 500 AP Exams across 25 subjects, with a score of three or higher (well above state and national averages).

St. Dominic Savio Catholic High School's college acceptance rate is 100 percent for universities and colleges, both public and private, in the United States and abroad. 

Multiple TAPPS Academic State Championships, and most recently took Second Place in 2024.

Savio has had several district and regional championships in multiple sports, including state championships in softball, girls' track and field, boys' and girls' swimming, and boys' and girls' cross country.

Equally successful is our Iron Eagles Robotics team, earning the title of the
2023 TAPPS State Champion, qualifying for several World Championships, and twice ranking internationally."
recQK9NHx5r1jw9Qg,"We have had National Merit Commended Scholars! 

We have had multiple U.S Presidential Scholar!

Students have acquired millions of dollars through scholarships for their higher education."
recQNbNPmIHfBTS5M,"Founded in 1917, it is the first private school in Austin to be named a Blue Ribbon School for Excellence by the U.S. Department of Education."
recQnJ8vNmxo51Zuj,"These characteristics of Marianist education provide a common language and a common method to achieving our goals. Our schools offer a quality education. We teach the faith in the classroom and by living the Truth Jesus provides. We engage the mind and the heart to know and understand. An individual education in the Marianist Tradition faces the challenge to use what he has learned to serve others, establish justice, and ensure peace to all of God’s creatures. In a rapidly changing world, Marianist Education provides a firm foundation of Truth and knowledge to adapt as necessary, as believers have for over two millennia. It’s one of the paradoxes of a fully lived faith—a firm foundation from which to move the world!

Grounded in this faith-filled view, the Marianist tradition invites a prudent openness to social and cultural change in the world, following the example of Blessed William Joseph Chaminade; ""For new times, new methods."" Facing new times, while relying on faith benefits all those who work in Marianist education, including those of other faiths, because it so deeply respects what is most human in students and in one another. In being faithful to the gospel of Jesus Christ, the Word Incarnate, we live with and for the people of our time and share with them their joys and hopes, their anxieties and sufferings.

In this vision and this ministry, we give encouragement and confidence to each other. Open and attentive to new approaches, each educator keeps Marianist education relevant and up-to-date by his or her contributions. As lay and religious Marianist educators, we are called to offer to those around us the testimony of our lives, to live in such a way that we vigorously revivify the message of the reign of God, already present in the midst of our world, but the fullness of which is yet to come. We hope that by putting the characteristics of Marianist education into practice, our school can be continue to be a blessing for all those whom we serve in our educational communities."
recRYBMoH0yzkz0hH,"Proud to be a 3‑Star Texas Rising Star program, one of the highest ratings awarded in Texas. Our team is made up of dedicated early childhood professionals—most holding bachelor’s degrees or Child Development certifications—who consistently exceed state training requirements to ensure exceptional care and learning for every child."
recRi8awgENlgdtXH,"Named to the 2025 AP® School Honor Roll PLATINUM member!
2025 AP SCHOLARS:
33 AP Scholars, 17 AP Scholars with Honors, 35 AP Scholars with Distinction"
recRqPBzbL1j0laly,"Strong kindergarten readiness outcomes in early literacy, math foundations, and self-regulation
Consistent developmental growth supported by high-quality, play-based instruction
Ongoing alignment with recognized early childhood quality standards"
recRrgyhhWb7VAMxK,"Country Home Learning Center is accredited through Texas Rising Star and the Cognia organization. Cognia helps assure parents of a school’s commitment to quality education by “engaging the school community in meeting high quality standards, implementing a continuous improvement process and engaging in quality assurance through internal and external review.”"
recSNgWiw8RwYu3LW,Our students performed on or two grades above level.
recSU3EWJBYYxzEgD,"Many of our preschoolers enter Kindergarten with a beginning ability to blend sounds and recognize sight words.  They also have a strong number sense, an ability to subitize up to sets of 10 and have a basic understanding our base ten math system.  Our strong social emotional curriculum helps ready kids for Kindergarten by developing their ability to identify their emotions and self-regulate with calming strategies."
recSltyhf0Vr2IeAV,"100% of students attend college, most receiving merit-based scholarships."
recSnjd0mTOsdDZy4,"Edutainment is in the process of earning system-wide Cognia accreditation, with completion expected by May 2026. This reflects our commitment to high academic standards, continuous improvement, and measurable student growth across programs."
recSnlkRnEXoT1r7g,Cognia Accreditation
recTACkk8Jqgwuiv4,"Spelling Bee
Honor Roll
Science Fair
Student Council
After-school Robotics"
recTMyeUPqJ2OzlZC,"Children who graduate from INIC don’t just keep up in elementary school - they often lead their classrooms, equipped with advanced language skills, confidence, and strong social-emotional readiness."
recTSMECDHFIdlKcM,"Country Home Learning Center participates in the Texas School Ready Program, and is accredited through Texas Rising Star, and the Cognia organization. Cognia helps assure parents of a school’s commitment to quality education by “engaging the school community in meeting high quality standards, implementing a continuous improvement process and engaging in quality assurance through internal and external review.”"
recUUxSk5wS4h8P9C,"Average ACT Score is 26.6 (30.2 for the top 25% of the class); 

Of the 85 graduating seniors in the Class of 2025, 76% received a total of $13,101,824 in merit based scholarships; 

Since 2010, Grapevine Faith has had 10 National Merit Scholars, 12 National Merit Semi-finalists, 44 National Merit Commended Students, 5 National Hispanic Scholars, and 2 African American Scholars

In TAPPS State academic and speech and debate competitions, Grapevine Faith traditionally lands in the top 1st, 2nd, and/or 3rd place depending on divisions, and placed 3rd in state in 2025 as an overall team; 

Speech and debate students have also competed on the national level. 

In 2024-2025, Grapevine Faith had 32 Academic All State student athletes

At the elementary level, for the past two years, students have participated in"
recUhhttQzn6Y2pP1,"We are a small preschool, with a focus on our academics
We take pride in our ability to ready our children for the next step in their journey. Due to our academic excellence, we have children who excel in kindergarten who are able to test up a grade level, master the assessments, or test into Gifted and talented program.  We look forward to serving you"
recUqfC9kjzGeAKpe,Governor's academic recognition award.  Katy Christian Academy was chosen for the 2018 and 2019 Best of Katy Awards in the category of Private Schools K-12. The Best of Katy Award was created to acknowledge the best businesses in our Katy community.
recV0cUFEfSUUmaSV,"Mission: Enriching the Lives of Laredo's Children

At Shining Stars Learning Academy, our mission is clear: to enrich the lives of the children of Laredo, Texas. We achieve this by providing a nurturing environment that fosters a love for learning. Each child is uniquely brilliant, and our goal is to uncover their special talents through exploration, experimentation, and imaginative play.

We follow a unique play-to-learn approach. Our curriculum combines structured learning objectives with open-ended, hands-on, creative activities that encourage active engagement, problem-solving, and social interaction. We recognize that children learn best through exploration and play, and we embrace this philosophy to help them thrive.

We specialize in a play-to-learn curriculum, featuring rotating stations designed to provide real-life experiences. From lemonade stands to community gardens and pretend kitchens, our innovative teaching methods immerse children in interactive learning adventures that enrich their fine and gross motor skills, emotional intelligence, and problem-solving abilities.

Our commitment to quality education extends to our facilities. We maintain small class sizes designed to have a low student to teacher ratio, ensuring that each child receives individualized attention. Our classrooms feature a diverse range of books celebrating different cultures, fostering appreciation and understanding. We also take pride in our community garden, offering hands-on agricultural experiences to our young learners."
recVHcxIITfrSExct,"We are a 4 Star Texas Rising Star school.
We currently have our Pre-K teachers on a Texas School Ready program, which helps prepare our Pre-K students for a successful transition to public school."
recVTttmz1UzlMios,"For the past 4 years, The Learning Experience Sienna has been recognized as a Texas Rising Star school, reflecting our continued commitment to high-quality care, early education, and meaningful family partnerships."
recWLJP3xu5qV63gH,"3 recipients of the Regional Scholar Award for the CLT-10.

Various College Board awards related to PSAT and SAT.

Our graduates have been accepted into the following colleges: New Saint Andrews, DBU, Baylor, Texas A&M, ACU, Charleston Southern, Grove City, Anderson, Auburn, OSU, Samford, Tarleton, Texas Tech, University of Tennessee - Knoxville, UMHB, Harding."
recWQrfIv7aGX5Cof,We have some students who’ve completed our Pre-K program and were able to test for 1st grade!
recWVP6yeIbuGQy9Y,National Merit Scholars; Average over $7 million annually in university scholarships; Ivy League and Military Service Academy acceptances
recWrW9cIcyftBgb1,"St. John's has the only SMART Lab STREAM technology lab in South Texas. Our graduates consistently go on to become members of the National Honor Society, top performers in their class, take on leadership roles and graduate at the very top of their class. In the last several years our former students have been salutatorian and valedictorian of their high schools."
recWwaA5qgovPEDHA,"Accredited through Cognia and aligned with Texas early learning standards, our school has implemented strong instructional systems and assessment practices that support student learning. From beginning- to end-of-year, approximately 85% of students showed growth in early literacy skills and 80% showed growth in early mathematics."
recX5tz2T8RGU1s9w,"Our teachers ""teach to the top,"" meaning the highest ability learners are the focus of whole group lessons at all times. We regularly track data and provide interventions and enrichment based upon that data. Through MTSS meetings, we ensure students receive the support they need to advance."
recXCqiakR3IpvjGF,Majority of students advanced and performed one or two grades ahead.
recXENDgQAEsdJW90,"We are proud that our learners' growth is measured not only in exemplary academic achievement, but also achievement in leadership, high moral character, and soft skills such as communication, perseverance, problem-solving, analytical, public speaking, and conflict resolution. While there is no test or scoring that can give justice to growth in these significant areas, our ""Heroes"" skills are on display every six weeks at our school's public exhibitions."
recXLdMORg9gnF3hw,"Our daycare is proud of the remarkable academic milestones our children achieve, from early literacy skills to advanced problem-solving. We focus on preparing each child for future academic success in a nurturing environment."
recXQrEODTy2faJu9,Texas Rising Stars
recY6KwPfYJLtfb4N,"Since our founding in 2012, Arcadia First Baptist Christian School (AFBCS) has been steadfast in its commitment to academic excellence rooted in a Christ-centered curriculum. Our mission to disciple students for Christ is reflected not only in their spiritual growth but also in their outstanding academic accomplishments. 

*Award-Winning Scholars: AFBCS students have received numerous awards for academic excellence, leadership, and character, demonstrating the holistic development fostered by our school environment.

*College Preparatory Success: Graduates from AFBCS have been accepted into respected colleges and universities, equipped with strong academic foundations and a Christ-like character that prepares them for lifelong success.

Christ-Centered Curriculum Impact
Our curriculum integrates biblical principles with rigorous academics, nurturing both the mind and heart. This approach:

*Encourages critical thinking grounding in a Biblical worldview.
*Fosters integrity, perseverance, and compassion alongside intellectual growth.
*Creates a supportive environment where students thrive academically while growing in faith and character.

Holistic Student Growth
At AFBCS, we believe true education encompasses more than grades. Our students develop spiritually, morally, and socially, preparing them to be leaders who serve with humility and wisdom. The family atmosphere and personalized attention help cultivate confident, compassionate individuals ready to impact their communities for Christ."
recY6xIgalRqvA4dM,Four star Texas Rising Star Center
recYXlRrZbbaAT0qZ,"Our Pre-K students achieve academic milestones while also developing critical social-emotional and self-regulation skills, ensuring they enter kindergarten confident, curious, and ready to learn. Through modeled behavior, advanced learning resources, interactive play centers, and state-of-the-art facilities, your child will thrive and grow with us."
recYikdb15T2JccxH,"Zion Lutheran School has had the following Academic Achievement:
3rd place elementary division in State PSIA 2025
3rd place middle school division in State PSIA 2025
2nd place elementary division in District 8A PSIA 2025
2nd place middle school division in District 8A PSIA 2025
Area Lutheran School Spelling Bee Champion for 2024, 2025 and 2026"
recYtjteuHKyvFjUo,"4 Star Texas Rising Star Rating School. Highly passionate management, great organization and structure in place."
recYzjyXFwqKqt1zu,"Our preschoolers are able to read, write, add and subtract."
recZ5QRv9QcHjfnsu,"Our Pre-K and Kindergarten students graduate with strong early reading and math skills, often performing at or above age expectations. Children confidently present projects, participate in science fairs, deliver speeches, and take on leadership roles during school events, building independence, communication, and a love for learning."
recZPLh1q7OxCsIwY,"Our Pre-K and Kindergarten students graduate with strong early reading and math skills, often performing at or above age expectations. Children confidently present projects, participate in science fairs, deliver speeches, and take on leadership roles during school events, building independence, communication, and a love for learning."
recZhnNmt5avRGBwh,Our school's SAT average is 200 points higher than the average score of area schools
recZkEZOKSi2UEHAd,"Students in grades 1-8 take the NWEA Measure of Academic Progress (MAP) assessment three times annually. On the most recent winter test, the average score at Holy Family was higher than the national and diocesan averages.  

The median scores on the MAP assessment are as follows:
Math: 72%
Reading: 78%
Language: 83%
Science: 82%

Our school scores show that our students are continuing to learn and grow at an average to high-average rate based on the NWEA MAP test.

Annually, our students compete in the Private School Interscholastic Association (PSIA) competitions. All students are welcome to join the team starting the 1st grade. Last year, our school won first place in the district meet and scored third place at the state competition."
reca8JOqv0FwGrfLd,"We are Texas Rising Star 4-Star certified.  

Our Junior Pre-school students are starting to learn to read and write at 2 1/2 years old!  Our Pre-kindergarten students are reading and writing independently!

We focus on social/emotional development with play based learning!"
recaVwwTcx58ErL8Z,"Nine-time defending TAPPS State Academic Champion
TAPPS State Academic Contest Champion
5-time ""Best Private School"" in central Texas per the Austin American Statesman
3-time ""Best Private Preschool"" in central Texas per the Austin American Statesman
5-time ""Favorite Private School"" in central Texas per Austin Family Magazine
Henderson Cup recipient for 2023 and 2024 (Top overall school in TAPPS)
5-time recognition as one of the top private schools in Austin through Niche.com
3-time reigning state champions for Drill/Dance
2-time reigning state champions for Band
Multiple athletic team representations at the state level/playoffs through TAPPS"
recaW0bnDpHY8Y6zH,"Providence graduates EACH earn an average of $300K in scholarships each year, due to our individualized support for students in the college application process. This is the highest for San Antonio area Catholic high schools.
Providence earned Gold Recognition from College Board for AP and college readiness and growth in student achievement in 2025.
Providence uses NWEA Map Growth testing to assess middle school student aptitude and growth year over year to address individual student needs and address curriculum to prepare students to be successful on PSAT, SAT and future post graduate certification exams."
recairnzHc6sqLzib,"PSAT scholar, PSAT commended, NASA scholars, VFW Essay national qualifier, VFW Art state and national honors, Robotics State Champions, ACSI writing regional and state honors"
recaqdHRyFXkzKQVX,"TKA's solution is a smaller, individualized approach to education supported by wraparound services tailored to each student’s needs. Our model includes:

-Early childhood education to address gaps early

-Literacy and academic support, including tutoring and differentiated instruction

- Science, Technology, Engineering, and Math enrichment

- Talented and Gifted Instruction

-Social-emotional learning embedded throughout our curriculum

-Physical support, including breakfast, lunch, snacks, exercise, uniforms, and extended care

-Family support services and counseling referrals

-Transportation assistance and access to extracurriculars, such as fine arts and sports

-90% of our students scored average or above on nationally normed  standardized tests for the 2024-2025 school year

- 96% of our students experience academic growth as demonstrated on nationally normed standardized tests"
recarwHfQDhyAp6vA,"Guided by a multi-year strategic plan, we continue to expand curriculum and opportunities, including additional AP, Dual Credit offerings and onsite ACT testing. Our students are equipped to excel academically while serving others, reflecting our commitment to faith, learning, and leadership."
recbS7LzT1zx1gD7h,"Cognia Accredited, TRS certified"
recbbBwOcS2TVtGAQ,"We are a Gold-Standard, accredited Acton Academy Campus. We've had two graduates from our program who are currently at UT Austin. We started with 16 learners in a house in 2016 and have grown to a full campus with 5 multi-age studios."
recbdIFzqVwTh5EVS,This early learning center is an accredited Texas Rising Star 4 Star Center!
recbhryL4wcs4U0ri,"4 Star TRS approved. Leading Franchise in the Nation. Secured entrances, background-checked staff, and detailed health protocols keep your child safe and protected."
recbj5fZ6N2gfRoLZ,"Through our dual credit program, high school students can graduate with college credits. Some students have graduated with their associates degree. 
Our strong academic program enables students to master content above grade level in elementary school."
recc67ahK0ID4QohG,"NAEYC Accredited
Texas Rising Star 4-Star School"
reccUyR62s3l0yngV,Children's Lighthouse follows a proprietary and nationally accredited curriculum.  The school is also Texas Rising Star certified.  Our students graduate with higher-than-average reading capabilities.
recdAPL6MoL95EuYo,"Signature Programs

• AgriSTEAM hands on science and nature learning
• Spanish immersion language program
• Ready Readers early literacy and guided reading
• KidFit weekly physical education
• Art and music enrichment
• Themed summer camps and literacy bootcamps

Key Metrics

• Dual accredited by NAEYC and Cognia
• Serving families since 1979
• 220 students currently enrolled
• 23 lead teachers and 16 assistant teachers
• 20 classrooms including spaces for art, music, Fine Gross Motor and Spanish
• Outdoor classroom and nature based learning spaces that support AgriSTEAM and hands on exploration
• All lead teachers hold degrees in education or child development
• First Nature Explore Certified playground in Texas
• Only NAEYC accredited early childhood school in Denton County

Staff to child ratios
• Toddlers (18 to 36 months): 1 to 6
• Preschool (ages 3 and 4): 1 to 10
• Junior Kindergarten and Kindergarten: 1 to 12
• 1st and 2nd Grade: 1 to 12"
recdESWr2fvyJU0oj,"A true Pre-K through 12 continuum:

SJCA is a full Pre-K–12 school, not a collection of disconnected programs. Students can begin in early childhood and continue through graduation in one unified system. This continuity allows for strong relationships, consistent expectations, and intentional academic and spiritual growth at every stage.

A comprehensive school, not a niche program:

SJCA presents itself as a comprehensive Christian school, offering academics, athletics, fine arts, leadership opportunities, and student support across all grade levels. This includes specialized services such as the Take Flight Dyslexia program, led by a Certified Academic Language Therapist, through SJCA’s Fearfully and Wonderfully Made (FWM) program. Families are not choosing between academics and extracurriculars, they receive both, fully developed and intentionally aligned.

Biblical worldview woven into daily learning:

Rather than separating faith from academics, SJCA communicates that students are taught to view the world through a biblical worldview across subjects and experiences. Scripture, character development, and Christian perspective are intentionally connected to classroom instruction, decision-making, and community life, not treated as an add-on.

Strong academics with personal attention:

SJCA offers small class sizes, low student-teacher ratios, and individualized attention. SJCA is often noted as ranking favorably among private schools in Texas, with graduates continuing on to four-year colleges and post-secondary programs.

Experienced and stable leadership:

San Jacinto Christian Academy’s leadership has extensive experience in education and recognized leadership credentials and is mission-driven, and focused on long-term excellence rather than short-term trends.

Well-rounded student life:

 SJCA promotes a balanced student experience that includes competitive athletics, fine arts, clubs, leadership opportunities, and service, all aligned with the school’s mission and values. Athletics and activities are presented as extensions of character formation, teamwork, and discipline.

Established history and community trust:

Founded in 1982, SJCA has served families in the Texas Panhandle for decades. San Jacinto Christian Academy is a covenantal, close-knit, family-oriented community where students are known, supported, and challenged."
recdZ7xKF4TSsnetI,This early learning center is an accredited Texas Rising Star 4 Star Center!
recdbs25pXNS9jopT,"Shelton’s Class of 2025 included 101 seniors who received 506 college acceptances, are enrolled at 54 colleges across 21 states, and earned $12.6 million in merit scholarships. College acceptances range from Southern Methodist University, Baylor University, The University of Texas at Austin and Texas A&M University to Wake Forest University, Hofstra University, Carnegie Mellon University and Savannah College of Art and Design, among others. Academic highlights include one senior earning a 35 composite ACT score, and two seniors earning a 36 on the ACT Reading section; the highest ACT Math, Science and English scores in the class are 35."
recdeHRuFRv1YSx9W,"Students demonstrate measurable academic growth through individualized instruction, small class sizes, and targeted support tailored to each learner’s needs.

Successful integration of a Bible-based curriculum with core academic subjects, promoting both academic proficiency and character development.

Consistent student engagement and improved classroom performance as a result of personalized learning plans and hands-on instructional approaches.

Strong foundational skill development in reading, mathematics, and critical thinking through mastery-based instruction.

A supportive learning environment that fosters confidence, accountability, and a love of learning, contributing to positive academic outcomes."
recdyJ1crRehFD8At,"1st place CAPIT's National January Reading Challenge - 2nd Grade
Our alumni have achieved Valedictorian's and Salutatorian status in 6 out of 7 Catholic High Schools in the Archdiocese of San Antonio."
rece19fL2tnwRR2o8,"TCS students achieve academic excellence through a rigorous, accredited curriculum delivered by highly experienced educators. Graduates earn recognized transcripts and diplomas while completing advanced coursework and engaging in meaningful enrichment opportunities. Our personalized model allows students to accelerate in advanced subjects while receiving targeted support where needed, empowering them to reach their highest academic potential and pursue competitive post-secondary opportunities. The flexibility of our approach also enables students to balance high-level academics alongside their passions, including arts, music, languages, STEM, and more."
rece69fXBBX7ok0av,"Our school was the five-year winner in annual spelling-bees;

We have had good success with children requiring additional attention for learning and behavior."
receQNkhLZUiVBTRg,"Our students graduate, and matriculate to a diverse option of college and career opportunities, many with a tremendous amount of financial aid.  Some of the universities our students have moved onto in the last few years include:

- University of Arkansas
- Auburn University
- Baylor University
- Dallas Baptist University
- Liberty University
- Texas A&M University
- Texas Christian University
- Texas Tech University
- Stanford University"
receRy2DmjX253D5U,"WASC-Accredited School. On average, faculty members bring 15 years of educational experience, 5 years of service at CMASAS, and 50% hold post-graduate degrees. Ranked a Top Private Online School in America by Niche. Average Graduation Rate = 100%, Average SAT = 1240 Average ACT = 27"
receoKrLnvOPpH3Un,"St. Gregory Cathedral School is proud to be a three-time U.S. Department of Education Blue Ribbon School — earning this highest academic honor in 1999, 2006, and 2014 — reflecting consistently exceptional student achievement and rigorous academics. With a strong faith-based foundation and curriculum that nurtures critical thinking and academic excellence, students are inspired to reach their full potential. Families value the school’s commitment to high achievement, character formation, and preparation for future success."
recfQyZDA4ohKl3FE,"The Dallas Diocese Academic Curriculum has been adopted by James L. Collins Catholic School. It meets and exceeds the state curriculum regulations for other public accredited schools in Texas. The curriculum offers the student a challenging and well-integrated program of study. In addition, a variety of instructional programs and methods provide students with learning experiences and opportunities to develop their potential. All students are taught problem-solving and critical thinking skills and are given the opportunity to participate in enrichment activities that challenge every child in every classroom. Students are charged to become creative, future-oriented thinkers. Two-third of our graduates rank in the top 10% in high school.  Our students compete in the PSIA Academic Competition, Diocesan Spelling Bee, and Religion Bowl. Students in Kindergarten through the 8th grade participate in the Accelerated Reader Program at Collins Catholic School.  We have our very own SmartLab® Innovation Center on our campus. The SmartLab is a fully integrated learning environment where everything from the furniture and technology focuses on the STEM curriculum."
recfR5HYospGueawp,48 Commended National Merit Scholars; 12 National Merit Finalists; ACT & SAT scores that exceed the state & national averages; MAP Growth Assessment scores that exceed the national average for grades K-8. National Blue Ribbon School
recfX7TkoFYMRqxSq,Students participating in Dual Credit courses earn on average 15 - 36 college credits.
recgCePPc7AUWvvw8,"Notable Wholesome Academic Achievements (K–8)
Students demonstrate consistent academic growth, with many performing above grade level in reading, writing, and mathematics (especially our middle-schoolers).
Early learners establish strong foundational literacy and numeracy skills, preparing them for advanced academic success.
Advanced learners participate in accelerated and enriched instruction.
Students engage in interdisciplinary, project-based learning integrating core academics, entrepreneurship, and applied problem-solving.
Middle school students develop high school readiness skills, including critical thinking, executive functioning, and effective communication.
Inclusive instructional practices ensure students from diverse backgrounds and learning styles achieve measurable academic progress.
Students at Wholesome Generation feel happy, worthy, and supported, cultivating self-motivation and confidence as they discover their strengths and purpose."
recgLlehQYmGZaZET,We score above average on nationally normed tests.
recgM15MDWVXjpF6H,We proudly prepare 99% of our children to be kindergarten-ready while nurturing strong social-emotional skills that help them excel in school and beyond.
recgxk9Tcd6ZGYNJn,"Why Families Choose Holy Family Catholic Academy

A strong and stable school community, formed through a successful merger, that offers continuity, trust, and long-term growth for families.

An International Baccalaureate (IB) candidate program that challenges students academically while developing critical thinking, curiosity, and global awareness.

A faith-centered environment where children grow in prayer, values, service, and a personal relationship with Christ.

A welcoming, multicultural community where every child is known, valued, and celebrated.

Purposeful leadership and careful planning that ensure a safe, nurturing, and high-quality educational experience for every student."
rech4OZpW530Ai8W0,"Children who graduate from Kiddie Academy of League City West leave confident, curious, and First grade ready. Our graduates demonstrate strong early literacy and math skills, independence in learning, effective communication, and well-developed social-emotional foundations setting them up to excel as they transition into elementary school and beyond."
